source,user_id,ip,timestamp,latitude,longitude,permissions_granted,spoofed_gps,spoofed_ip,spoofed_ap,author_name,category,content,author_location,author_bio
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:41:08,44.598673,6.180322,False,False,False,False,Microsoft,"Science, Technology & Engineering",Concevez des applications professionnelles en toute simplicité. C’est la résilience au travail.,,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:41:08,44.598673,6.180322,False,False,False,False,Trality,Financial Service,"If you're reading this then you are one step closer to winning €3000 with Trality! To take the next step, all you have to do is create a trading bot using our state-of-the-art tools and submit it to us before the end of November. The top three participants according to RoMaD (Return Over Maximum Drawdown) will receive a cash prize - so get creating! Note: Your trading algorithm and code will remain confidential and remains your intellectual property.",,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:41:08,44.598673,6.180322,False,False,False,False,Rushcode,Website,"Rushcode est une plateforme gratuite en ligne pour apprendre à coder pour le web en Javascript, PHP, Ruby et bien plus. https://rushcode.fr/decouvrir-la-beta",,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:41:24,44.598673,6.180322,False,False,False,False,Oculus,Video Game,"Peu importe votre façon de jouer, vous pouvez enfin le faire pour de vrai avec le nouvel Oculus Quest 2. À partir de 349€. #PlayForReal* *Jouez pour de vrai",,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:42:15,44.598673,6.180322,False,False,False,False,Anima App,Internet Company,"ANIMA 4.0 IS HERE! 🔥 Developer-friendly code, instant #Reactjs components, effortless design-to-dev collaboration. We’re cutting out the grunt-work and handing the power back to designers + developers. Try it now — https://buff.ly/35zJIG1",,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:42:15,44.598673,6.180322,False,False,False,False,Oracle Developers,Computer Company,"Rather than emailing spreadsheets around to gather information, learn how to easily create an app in minutes using APEX, and email the URL instead. Join our hands-on lab and let’s get started.",,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:43:06,44.598673,6.180322,False,False,False,False,Udemy,Education,"Designed for anyone interested in Machine Learning, this course will teach you how to make accurate predictions and build powerful Machine Learning models using Python and R to solve any problems. Here are some more details of what you'll learn: 1. Create Machine Learning Algorithms in Python and R 2. How to make accurate predictions and apply to your business and personal purpose 3. How to build powerful ML models to solve any problems 4. Reinforcement Learning, NLP, Deep learning Sign up today for a special discount. Plus, you'll be protected by 100% money-back guarantee.",,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:43:06,44.598673,6.180322,False,False,False,False,Persol Eyewear,Product/Service,Votre chance d'obtenir des lunettes de soleil iconiques avec des économies Cyber Week exclusives.,,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:44:01,44.598673,6.180322,False,False,False,False,Paris 2024,Sports Event,Tu seras où en 2024 ? Sois le premier informé et ne rate rien des Jeux de Paris 2024.,,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:44:01,44.598673,6.180322,False,False,False,False,CUPRA,Cars,Volant cousu main. Écran tactile de navigation 12’’.,,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:46:24,44.598673,6.180322,False,False,False,False,Dyma,Computer Company,Vous êtes débutant et vous ne savez pas du tout par quel langage commencer le développement Web ? Nous vous expliquons pourquoi apprendre le JavaScript ! https://blog.dyma.fr/pourquoi-apprendre-le-javascript/,,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:46:24,44.598673,6.180322,False,False,False,False,Brilliant.org,Science Website,"🚀 Math Fundamentals 🚀 Learn the key ideas of mathematics with these interactive courses. Starting from simple patterns and puzzles, you'll build intuition in algebra, geometry, probability, and calculus by solving problems, not memorizing formulas. Whether you’re looking to learn the basics, brush up, or just stay sharp, there’s something here for you. Sign up today for a special discount to unlock this course and all other courses in our learning library. 👉 https://brilliant.org/new-way-to-see/",,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:48:34,44.598673,6.180322,False,False,False,False,Les Passagers du Vent - Boutique & Ecole de Parapente,Product/Service,"❝ Génial !!! Des explications qui mettent à l'aise, des pilotes super sympas, un cadre magnifique, vue superbe ! À la fin le pilote nous laisse les manettes et nous propose des acrobaties. C'est génial je recommande vivement !!! ❞",,
fb_app,2917e08bbd,90.118.36.140,2020-11-27T12:48:54,44.598673,6.180322,False,False,False,False,Hypervsn,Product/Service,"We can guarantee 3 things: you'll be amazed, entertained and excited by the new opportunities our technology can bring you 😀",,
